,TA1,TA2,TA3,TA4,TA5,TA6,TA7
DATE-YMD,HSST= HadISST Temperature (C),HSST= HadISST Temperature (C),HSST= HadISST Temperature (C),HSST= HadISST Temperature (C),HSST= HadISST Temperature (C),HSST= HadISST Temperature (C),HSST= HadISST Temperature (C)
15/07/1957,14.762,6.956,20.978,-1.522,11.718,26.982,17.971
15/08/1957,16.162,7.542,20.254,-1.71,14.378,26.31,17.281
15/09/1957,15.585,6.708,20.217,-1.768,12.967,25.801,17.463
15/10/1957,14.017,4.927,20.498,-1.772,11.227,25.778,17.827
15/11/1957,12.005,3.433,21.298,-1.537,8.761,26.034,18.845
15/12/1957,11.209,3.254,22.614,-0.35,7.354,26.26,20.181
15/01/1958,10.743,2.278,24.273,-0.008,6.181,26.584,21.491
15/02/1958,10.798,1.901,25.151,1.169,5.522,27.056,21.941
15/03/1958,10.939,1.813,24.996,0.981,5.752,27.682,21.863
15/04/1958,11.085,2.237,24.145,0.197,5.773,27.787,21.191
15/05/1958,11.706,2.437,23.019,-0.459,6.554,27.309,19.773
15/06/1958,13.116,4.489,21.944,-0.911,8.168,26.703,18.803
15/07/1958,14.624,6.59,21.101,-1.522,10.845,26.028,17.632
15/08/1958,15.366,7.215,20.422,-1.71,12.768,25.483,17.21
15/09/1958,14.65,7.609,20.332,-1.768,12.821,25.238,17.074
15/10/1958,12.915,5.874,20.629,-1.772,11.062,25.029,17.647
15/11/1958,12.242,4.764,21.927,-1.537,8.34,25.253,18.405
15/12/1958,11.215,4.242,23.508,-0.35,6.781,25.312,19.722
15/01/1959,10.627,2.753,24.726,-0.013,5.903,25.648,20.818
15/02/1959,10.142,2.186,25.808,1.155,5.676,26.305,21.518
15/03/1959,9.669,2.201,25.639,0.981,5.533,27.141,21.47
15/04/1959,10.055,2.199,24.707,0.22,5.768,27.704,20.927
15/05/1959,11.291,2.996,23.393,-0.466,6.754,27.262,19.913
15/06/1959,12.401,4.029,22.111,-0.915,8.275,26.267,18.793
15/07/1959,14.157,6.124,20.894,-1.522,11.272,25.617,17.731
15/08/1959,15.776,7.053,20.165,-1.71,14.231,24.989,17.16
15/09/1959,15.419,6.174,20.108,-1.768,14.226,24.996,17.359
15/10/1959,12.958,5.536,20.119,-1.772,11.421,25.141,17.765
15/11/1959,11.548,4.35,21.133,-1.537,8.653,24.97,18.567
15/12/1959,10.354,4.362,22.678,-0.35,6.483,25.052,20.391
15/01/1960,10.045,3.427,23.703,-0.011,5.389,25.603,21.762
15/02/1960,9.929,3.031,24.657,1.115,5.032,26.052,22.33
15/03/1960,9.884,3.034,25.001,0.976,5.012,27.089,22.107
15/04/1960,10.244,2.837,24.206,0.207,5.332,27.372,21.216
15/05/1960,11.092,3.827,23.035,-0.475,6.017,27.124,19.999
15/06/1960,12.18,5.182,21.933,-0.915,7.69,26.279,18.586
15/07/1960,14.29,7.633,20.941,-1.522,11.174,25.634,17.661
15/08/1960,15.446,8.096,20.183,-1.71,13.349,25.303,17.091
15/09/1960,14.576,7.385,19.97,-1.768,13.583,25.306,17.268
15/10/1960,13.041,6.455,20.207,-1.772,10.882,24.794,17.625
15/11/1960,11.188,5.062,21.192,-1.537,8.004,24.582,18.887
15/12/1960,10.298,4.474,22.383,-0.35,6.418,25.006,20.398
15/01/1961,9.479,3.416,23.479,-0.012,5.252,25.341,21.576
15/02/1961,9.193,2.985,24.093,1.156,4.857,26.487,22.685
15/03/1961,9.534,2.443,24.559,0.977,4.571,27.084,22.267
15/04/1961,10.18,2.729,23.763,0.2,5.201,27.817,21.566
15/05/1961,10.994,3.396,22.871,-0.482,6.527,27.359,20.261
15/06/1961,12.44,4.588,21.658,-0.919,8.23,26.587,19.003
15/07/1961,14.59,6.565,20.813,-1.522,11.274,25.157,18.15
15/08/1961,15.586,7.356,20.241,-1.71,13.939,24.646,17.499
15/09/1961,13.957,6.899,20.277,-1.768,13.646,24.231,17.493
15/10/1961,12.128,6.514,20.138,-1.772,11.896,24.241,18.035
15/11/1961,11.524,4.794,21.235,-1.537,8.902,24.783,19.076
15/12/1961,11.071,4.225,22.81,-0.35,7.625,24.869,20.542
15/01/1962,10.126,3.593,24.184,-0.013,6.676,25.461,21.305
15/02/1962,9.712,3.037,25.123,1.122,6.243,26.287,21.852
15/03/1962,9.959,2.273,25.203,0.964,6.048,26.732,21.487
15/04/1962,10.305,3.059,24.426,0.197,6.23,26.917,20.817
15/05/1962,11.174,3.274,23.542,-0.491,7.19,26.67,19.665
15/06/1962,12.425,3.925,21.923,-0.919,9.362,25.987,18.605
15/07/1962,14.444,5.55,20.802,-1.522,12.56,25.549,17.635
15/08/1962,14.84,6.099,20.16,-1.71,14.768,25.251,17.118
15/09/1962,14.021,6.369,19.977,-1.768,14.514,24.823,17.204
15/10/1962,12.908,4.917,20.121,-1.772,11.284,24.729,17.702
15/11/1962,11.695,3.385,21.32,-1.537,8.547,24.687,18.759
15/12/1962,11.044,3.041,22.767,-0.35,7.003,24.631,19.953
15/01/1963,10.666,2.262,23.72,0.18,6.465,25.46,21.436
15/02/1963,10.225,1.915,24.684,1.316,6.309,26.178,22.126
15/03/1963,9.864,1.97,24.843,1.034,6.473,27.341,21.972
15/04/1963,10.286,2.557,24.21,0.403,6.909,27.788,21.175
15/05/1963,10.87,2.273,23.164,-0.292,7.837,27.544,20.077
15/06/1963,12.23,4.427,21.728,-0.891,9.103,27.012,18.621
15/07/1963,13.92,5.284,20.345,-1.509,12.818,26.534,17.822
15/08/1963,14.412,5.515,19.971,-1.704,15.492,26.011,17.372
15/09/1963,14.228,4.976,19.76,-1.763,13.846,25.797,17.023
15/10/1963,13.179,3.955,19.9,-1.77,11.287,25.859,17.586
15/11/1963,11.515,3.029,21.326,-1.529,8.871,25.822,18.681
15/12/1963,10.727,2.8,22.758,-0.352,7.353,26.017,20.207
15/01/1964,10.415,2.177,23.64,0.199,6.054,26.027,21.531
15/02/1964,10.274,1.908,24.698,1.365,5.611,26.338,22.306
15/03/1964,10.069,2.297,24.648,1.01,5.533,27.017,21.935
15/04/1964,10.178,2.568,23.922,0.374,6.014,26.777,21.041
15/05/1964,10.706,3.606,22.606,-0.293,7.305,26.117,19.671
15/06/1964,12.489,4.635,21.595,-0.888,9.02,25.519,18.825
15/07/1964,14.492,5.395,20.42,-1.501,11.599,25.385,18.003
15/08/1964,15.45,5.963,19.737,-1.698,14.181,24.342,17.516
15/09/1964,14.886,5.109,19.601,-1.759,13.291,24.583,17.438
15/10/1964,12.966,3.494,20.077,-1.768,10.638,24.474,18.153
15/11/1964,11.846,2.517,21.163,-1.521,8.648,24.645,18.878
15/12/1964,11.068,2.736,22.29,-0.353,7.497,24.349,20.37
15/01/1965,10.371,2.684,23.892,0.242,6.685,25.102,21.678
15/02/1965,10.497,2.069,25.219,1.352,6.031,26.147,22.145
15/03/1965,10.544,1.132,25.139,1.021,6.09,27.215,21.835
15/04/1965,10.778,1.152,24.183,0.361,6.486,27.885,21.217
15/05/1965,11.54,1.631,23.004,-0.323,7.235,27.942,19.935
15/06/1965,12.483,3.488,21.953,-0.895,8.498,27.246,18.643
15/07/1965,14.225,4.858,20.646,-1.494,11.418,26.685,17.843
15/08/1965,14.78,5.443,20.256,-1.692,13.697,26.345,17.349
15/09/1965,14.46,4.345,20.491,-1.756,13.591,26.195,17.222
15/10/1965,12.916,3.892,20.549,-1.767,10.893,26.225,17.641
15/11/1965,11.442,3.023,21.49,-1.513,8.995,26.493,18.58
15/12/1965,10.665,3.391,22.925,-0.354,7.116,26.485,19.671
15/01/1966,10.176,3.007,24.025,0.253,6.586,26.773,21.037
15/02/1966,9.97,2.075,24.661,1.358,5.716,26.909,21.547
15/03/1966,10.058,1.749,24.638,0.997,5.754,27.313,21.56
15/04/1966,10.28,2.36,24.375,0.381,6.129,27.634,20.962
15/05/1966,10.428,3.095,22.989,-0.32,6.924,26.931,19.808
15/06/1966,11.782,5.066,21.922,-0.889,8.7,26.372,18.64
15/07/1966,14.367,6.222,20.834,-1.487,10.928,25.72,17.828
15/08/1966,16.199,6.064,20.262,-1.686,13.152,24.933,17.204
15/09/1966,14.726,5.686,20.109,-1.752,12.758,24.803,17.238
15/10/1966,13.142,4.275,20.306,-1.764,10.773,24.826,17.777
15/11/1966,12.099,3.351,21.852,-1.506,9.268,24.648,18.923
15/12/1966,11.402,2.755,23.444,-0.355,7.585,24.655,20.296
15/01/1967,10.807,2.257,24.334,0.286,6.179,25.345,21.681
15/02/1967,9.983,2.237,25.212,1.31,5.734,26.1,22.521
15/03/1967,9.514,1.382,24.895,0.988,5.842,26.901,22.261
15/04/1967,10.637,1.172,23.97,0.391,6.446,27.07,21.312
15/05/1967,11.186,1.586,22.717,-0.264,7.881,26.984,20.014
15/06/1967,12.434,3.098,21.469,-0.874,9.748,26.434,18.969
15/07/1967,14.091,4.831,20.393,-1.482,12.903,25.387,18.222
15/08/1967,14.861,5.802,20.105,-1.681,15.641,24.623,17.532
15/09/1967,14.389,6.036,20.043,-1.749,13.619,24.396,17.374
15/10/1967,12.414,4.692,19.929,-1.762,10.96,24.306,17.739
15/11/1967,11.203,3.27,21.115,-1.5,8.728,24.449,18.769
15/12/1967,11.123,2.213,22.61,-0.353,7.394,24.628,20.195
15/01/1968,10.42,2.145,23.999,0.399,6.603,24.688,21.415
15/02/1968,10.026,1.511,24.776,1.381,6.409,25.31,22.012
15/03/1968,9.918,1.039,24.722,1.025,6.139,26.236,21.942
15/04/1968,9.956,1.005,24.252,0.405,6.31,27.006,21.061
15/05/1968,10.978,0.989,22.79,-0.292,7.287,26.518,19.773
15/06/1968,11.885,2.541,21.422,-0.882,8.969,26.336,18.716
15/07/1968,13.574,4.498,20.203,-1.477,11.26,26.014,17.795
15/08/1968,14.892,5.479,19.748,-1.676,13.097,25.582,17.362
15/09/1968,13.586,5.765,19.989,-1.746,13,25.511,17.364
15/10/1968,12.343,3.945,20.717,-1.76,11.146,25.36,18.109
15/11/1968,11.269,2.893,21.903,-1.495,8.581,25.46,19.054
15/12/1968,10.226,2.63,23.299,-0.352,7.111,25.709,20.717
15/01/1969,9.908,2.073,24.661,0.427,6.397,25.982,21.678
15/02/1969,9.87,1.156,25.795,1.433,5.974,26.693,22.397
15/03/1969,10.201,0.351,25.58,1.048,5.545,27.686,22.361
15/04/1969,10.054,0.506,24.79,0.442,5.871,28.084,21.629
15/05/1969,10.877,1.058,23.412,-0.255,6.621,28.07,20.269
15/06/1969,12.022,3.059,22.119,-0.89,7.991,27.281,19.042
15/07/1969,13.802,4.928,20.983,-1.467,11.213,26.266,17.78
15/08/1969,14.148,6.288,20.547,-1.672,15.077,25.844,17.26
15/09/1969,14.364,5.309,20.461,-1.743,14.213,25.849,16.97
15/10/1969,12.731,3.893,20.644,-1.758,10.66,25.934,17.669
15/11/1969,11.417,2.059,21.697,-1.49,8.54,26.03,18.732
15/12/1969,11.067,1.844,22.6,-0.351,6.743,26.11,20.626
15/01/1970,10.464,1.87,23.564,0.467,5.62,26.362,22.018
15/02/1970,9.855,1.805,24.606,1.48,5.391,26.546,22.408
15/03/1970,10.21,1.221,24.576,1.081,5.214,27.192,21.95
15/04/1970,10.584,1.087,24.043,0.477,5.729,27.466,21.184
15/05/1970,11.061,1.966,22.844,-0.231,6.699,26.804,19.893
15/06/1970,11.926,3.861,21.738,-0.882,8.182,25.896,18.895
15/07/1970,13.788,5.017,20.682,-1.462,10.681,24.488,17.934
15/08/1970,15.053,5.779,19.981,-1.669,13.522,23.978,17.408
15/09/1970,14.001,5.097,20.088,-1.741,13.459,24.274,17.295
15/10/1970,12.61,3.803,20.307,-1.756,11.846,24.327,18.107
15/11/1970,11.308,2.321,21.435,-1.485,9.623,24.245,19.26
15/12/1970,10.647,2.611,23.077,-0.35,8.191,24.267,20.678
15/01/1971,10.105,2.175,24.8,0.466,6.881,24.622,21.984
15/02/1971,9.725,1.291,25.807,1.458,6.573,25.122,22.574
15/03/1971,9.85,1.235,25.072,1.059,6.145,26.166,22.538
15/04/1971,9.93,1.433,24.1,0.503,6.102,26.982,22.001
15/05/1971,10.847,2.107,22.761,-0.214,6.555,26.544,20.568
15/06/1971,12.426,3.339,21.468,-0.879,8.14,25.874,19.202
15/07/1971,14.417,5.357,20.532,-1.453,11.717,25.29,18.292
15/08/1971,15.005,5.453,20.101,-1.666,13.515,24.462,17.712
15/09/1971,14.6,5.378,20.108,-1.739,12.738,24.505,17.548
15/10/1971,13.176,4.572,19.669,-1.755,10.957,24.102,18.219
15/11/1971,11.925,3.498,20.745,-1.481,9.029,24.212,19.229
15/12/1971,10.914,3.414,22.034,-0.351,7.87,24.204,20.634
15/01/1972,9.817,2.832,24.612,0.463,6.598,25.218,21.85
15/02/1972,9.214,2.591,25.338,1.462,6.04,26.131,22.408
15/03/1972,9.213,2.543,25.34,1.061,5.966,27.011,22.502
15/04/1972,9.685,2.777,24.649,0.491,6.269,27.867,21.878
15/05/1972,10.23,3.556,23.425,-0.203,7.008,27.786,20.346
15/06/1972,11.309,5.1,22.216,-0.877,8.465,27.354,19.108
15/07/1972,13.413,6.742,21.256,-1.435,11.057,27.075,17.913
15/08/1972,14.953,6.677,20.59,-1.663,13.423,27.063,17.269
15/09/1972,14.893,5.393,20.491,-1.736,13.56,26.681,17.329
15/10/1972,13.133,3.944,20.575,-1.753,11.371,26.741,17.585
15/11/1972,11.51,3.304,21.73,-1.477,8.901,26.956,18.492
15/12/1972,9.728,3.566,23.569,-0.348,7.396,27.32,20.348
15/01/1973,9.105,3.529,25.194,0.101,6.342,27.066,21.611
15/02/1973,9.159,2.794,26.239,1.237,5.761,27.09,22.345
15/03/1973,9.125,2.211,25.956,0.78,5.406,27.571,22.237
15/04/1973,10.106,1.741,25.23,0.289,5.615,27.374,21.29
15/05/1973,10.878,2.428,23.975,-0.037,6.348,26.743,20.173
15/06/1973,12.437,3.424,22.792,-0.914,7.833,25.88,18.859
15/07/1973,13.891,5.929,21.648,-1.614,10.382,24.939,17.972
15/08/1973,14.801,6.112,20.952,-1.732,13.025,24.314,17.279
15/09/1973,14.32,5.65,20.794,-1.765,12.167,24.305,17.427
15/10/1973,13.261,4.789,20.854,-1.785,10.581,24.183,17.978
15/11/1973,11.844,3.819,21.961,-1.634,8.905,24.277,19.122
15/12/1973,11.068,2.495,23.139,-0.448,7.365,24.229,20.772
15/01/1974,9.331,2.344,24.147,0.464,6.641,24.536,22.328
15/02/1974,9.193,1.81,24.656,1.319,6.349,25.58,23.111
15/03/1974,8.92,1.87,24.764,0.95,6.051,26.601,22.735
15/04/1974,9.304,2.924,24.319,0.539,6.131,27.288,21.319
15/05/1974,9.687,3.428,23.334,-0.082,6.821,27.081,20.252
15/06/1974,11.317,5.007,21.957,-0.76,8.46,26.456,19.017
15/07/1974,13.19,6.876,21,-1.366,11.535,25.705,18.194
15/08/1974,14.041,6.716,20.721,-1.622,13.71,25.203,17.601
15/09/1974,12.898,6.21,20.431,-1.587,13.242,24.763,17.32
15/10/1974,12.564,4.884,20.712,-1.583,11.219,24.641,17.979
15/11/1974,11.186,4.039,21.865,-1.308,8.354,24.694,18.788
15/12/1974,10.451,3.561,22.984,-0.347,6.936,24.761,20.438
15/01/1975,9.51,2.354,24.43,0.433,6.207,25.227,21.711
15/02/1975,9.075,2.274,25,1.344,5.676,25.948,22.463
15/03/1975,8.909,1.95,25.243,0.924,5.426,26.927,22.308
15/04/1975,10.021,1.959,24.079,0.368,5.633,27.477,21.41
15/05/1975,10.908,2.523,23.235,-0.382,6.349,26.687,20.097
15/06/1975,12.53,3.104,22.005,-0.834,7.882,25.733,18.926
15/07/1975,14.633,4.869,20.633,-1.386,10.592,25.136,17.861
15/08/1975,15.267,5.277,20.311,-1.623,13.017,24.716,17.326
15/09/1975,14.7,5.035,20.136,-1.725,13.344,24.242,17.182
15/10/1975,12.714,4.84,20.027,-1.719,11.104,24.164,17.706
15/11/1975,11.406,3.214,21.141,-1.414,8.55,24.246,18.664
15/12/1975,10.708,2.861,22.281,-0.394,7.207,24.057,20.149
15/01/1976,10.168,1.828,23.502,0.295,6.045,24.351,22.195
15/02/1976,9.685,1.632,24.5,1.421,5.524,25.559,22.643
15/03/1976,9.443,1.803,24.339,0.975,5.487,26.794,22.389
15/04/1976,9.89,2.143,23.693,0.391,5.393,27.428,21.454
15/05/1976,10.442,2.734,22.275,-0.565,6.048,27.314,20.135
15/06/1976,11.193,4.559,21.396,-1.156,8.213,27.172,18.872
15/07/1976,12.867,6.635,20.425,-1.52,10.358,26.543,18.122
15/08/1976,14.854,6.553,19.902,-1.734,12.138,26.147,17.215
15/09/1976,14.64,5.473,20.058,-1.767,11.816,26.017,17.099
15/10/1976,12.046,5.023,20.284,-1.744,9.841,26.112,17.525
15/11/1976,10.599,4.297,21.35,-1.252,7.77,26.183,18.613
15/12/1976,9.761,3.7,23.323,-0.394,6.524,25.981,20.079
15/01/1977,9.516,2.441,24.219,0.252,5.669,26.509,21.496
15/02/1977,9.107,2.443,24.909,1.283,5.317,26.982,22.368
15/03/1977,9.2,2.292,24.988,0.987,5.141,27.576,22.633
15/04/1977,9.935,2.01,24.202,0.343,5.373,27.235,21.347
15/05/1977,10.9,2.401,22.893,-0.43,6.364,27.168,19.951
15/06/1977,12.887,3.661,22.022,-1.072,8.494,26.634,18.672
15/07/1977,14.862,5.093,20.718,-1.278,11.443,25.864,17.795
15/08/1977,15.975,6.299,20.269,-1.489,13.888,24.994,17.121
15/09/1977,14.762,5.213,19.986,-1.704,14.544,25.033,17.212
15/10/1977,12.99,4.672,20.51,-1.748,11.634,25.349,17.441
15/11/1977,11.53,3.248,21.408,-1.6,8.096,25.481,18.453
15/12/1977,10.786,2.812,22.57,-0.458,6.864,25.501,19.805
15/01/1978,10.02,2.691,23.786,0.296,5.776,25.942,21.571
15/02/1978,9.969,2.625,24.782,1.224,5.311,26.523,22.275
15/03/1978,9.894,2.16,24.617,0.959,5.028,27.139,21.924
15/04/1978,10.012,2.539,23.775,0.349,5.444,27.096,20.967
15/05/1978,10.887,2.852,22.76,-0.457,6.203,26.721,19.825
15/06/1978,12.119,3.997,21.739,-1.135,7.911,25.952,18.747
15/07/1978,14.235,5.307,21.164,-1.437,10.78,25.175,17.728
15/08/1978,15.157,6.258,20.453,-1.701,13.349,24.652,17.039
15/09/1978,14.701,5.845,20.155,-1.723,13.455,24.799,17.16
15/10/1978,13.48,4.428,20.277,-1.756,11.181,25.101,17.344
15/11/1978,11.793,3.709,21.234,-1.59,8.898,25.34,18.192
15/12/1978,10.671,4.228,22.549,-0.562,7.241,25.59,19.865
15/01/1979,9.994,3.238,23.586,0.421,6.174,25.587,21.471
15/02/1979,9.95,2.514,24.578,1.342,5.662,26.209,22.266
15/03/1979,9.82,1.578,24.299,1.028,5.483,27.054,22.212
15/04/1979,10.49,2.299,24.36,0.58,5.912,27.86,21.117
15/05/1979,11.491,2.178,23.281,-0.007,6.414,27.478,19.695
15/06/1979,12.779,3.217,22.287,-1.204,8.388,26.888,18.587
15/07/1979,15.115,5.679,21.139,-1.582,12.004,25.952,17.737
15/08/1979,15.474,6.139,20.746,-1.74,13.776,25.739,17.073
15/09/1979,15.101,5.234,20.524,-1.748,13.625,25.858,17.114
15/10/1979,12.786,4.387,20.559,-1.776,10.087,25.756,17.561
15/11/1979,11.325,3.532,21.488,-1.576,8.228,25.8,18.431
15/12/1979,10.294,3.796,22.843,-0.285,6.995,25.811,19.954
15/01/1980,9.753,2.808,24.157,0.527,6.263,26.15,21.627
15/02/1980,9.479,2.827,25.012,1.328,5.621,26.485,22.175
15/03/1980,9.463,2.662,25.045,0.987,5.397,27.21,22.249
15/04/1980,10.16,2.545,24.506,0.658,5.352,27.694,21.396
15/05/1980,11.252,3.455,23.403,0.145,6.052,27.523,20.071
15/06/1980,12.755,4.697,22.183,-0.687,8.077,26.934,18.93
15/07/1980,14.278,6.665,21.173,-1.45,11.606,25.872,17.854
15/08/1980,14.638,7.505,20.426,-1.631,14.253,25.314,17.395
15/09/1980,13.887,6.676,20.436,-1.702,13.925,25.286,17.26
15/10/1980,12.583,4.596,20.509,-1.737,9.9,25.011,17.838
15/11/1980,11.608,3.157,21.518,-1.619,7.627,25.352,18.768
15/12/1980,11.136,2.986,22.625,-0.457,6.517,25.479,20.002
15/01/1981,10.345,1.731,23.915,0.557,5.964,25.099,21.922
15/02/1981,10.179,1.573,24.724,1.358,5.471,25.896,22.766
15/03/1981,10.15,1.013,24.675,1.017,5.328,27.015,22.288
15/04/1981,10.628,1.827,23.746,0.528,5.382,27.323,21.521
15/05/1981,11.196,2.249,22.421,-0.039,6.372,27.086,20.072
15/06/1981,12.422,4.317,21.33,-0.971,8.024,26.56,18.915
15/07/1981,14.558,5.773,20.611,-1.412,10.929,25.609,17.992
15/08/1981,16.168,6.011,20.231,-1.549,14.143,24.959,17.447
15/09/1981,15.048,5.747,20.152,-1.67,13.353,25.278,17.31
15/10/1981,13.438,3.381,20.387,-1.684,12.027,25.317,18.034
15/11/1981,12.186,2.304,21.368,-1.683,9.301,25.305,19.281
15/12/1981,11.691,2.391,22.644,-0.406,7.246,25.732,20.547
15/01/1982,10.651,1.372,24.015,0.186,6.342,26.069,21.959
15/02/1982,9.803,1.541,24.712,1.006,6.148,26.567,22.877
15/03/1982,9.589,1.281,24.555,0.52,5.982,27.264,22.557
15/04/1982,10.053,1.458,23.88,-0.114,6.423,27.926,21.499
15/05/1982,10.939,1.98,22.731,-0.609,7.235,27.925,19.943
15/06/1982,11.651,3.351,21.813,-1.007,8.657,27.328,18.878
15/07/1982,13.9,5.627,20.861,-1.603,10.537,26.38,17.83
15/08/1982,15.056,5.715,20.204,-1.711,13.194,26.265,17.176
15/09/1982,14.284,4.901,20.331,-1.745,13.032,26.737,16.966
15/10/1982,12.048,3.881,20.822,-1.752,10.871,27.097,17.506
15/11/1982,10.753,2.759,22.004,-1.492,9.137,27.514,18.283
15/12/1982,10.09,2.85,23.505,-0.729,7.295,27.921,19.617
15/01/1983,9.594,2.51,25.072,0.841,6.101,28.139,21.124
15/02/1983,9.661,1.798,25.389,1.777,5.419,28.466,22.023
15/03/1983,10.01,1.297,24.982,1.079,5.301,28.946,22.028
15/04/1983,10.339,1.939,24.403,0.301,5.48,29.177,21.072
15/05/1983,10.954,2.954,23.262,-0.329,6.552,29.157,19.947
15/06/1983,12.523,3.862,22.18,-0.808,7.959,28.408,18.818
15/07/1983,15.49,5.813,21.087,-1.414,10.102,27.191,18.01
15/08/1983,16.772,6.14,20.508,-1.669,13.193,26.365,17.558
15/09/1983,14.635,5.919,20.367,-1.688,13.974,25.685,17.562
15/10/1983,13.184,4.531,20.665,-1.728,11.238,25.194,17.935
15/11/1983,12.226,3.396,21.646,-1.562,8.664,25.036,18.39
15/12/1983,11.289,3.338,23.236,-0.625,7.146,25.244,19.887
15/01/1984,10.105,2.182,24.765,0.684,6.265,25.52,21.385
15/02/1984,9.734,2.009,25.678,1.67,5.731,26.324,22.436
15/03/1984,9.878,1.557,25.592,0.983,5.598,27.283,22.3
15/04/1984,10.389,2.199,24.408,0.47,5.607,27.485,21.31
15/05/1984,11.691,2.994,23.47,-0.232,6.528,26.863,20.069
15/06/1984,13.085,4.964,22.481,-0.91,8.483,25.818,18.96
15/07/1984,14.992,5.91,21.463,-1.5,11.268,25.365,18.066
15/08/1984,16.214,6.249,20.974,-1.565,13.933,24.812,17.503
15/09/1984,15.724,5.794,20.766,-1.645,13.768,24.894,17.503
15/10/1984,12.915,4.719,20.769,-1.761,11.222,24.518,17.924
15/11/1984,10.953,3.469,21.715,-1.742,8.852,24.533,19.098
15/12/1984,10.06,3.209,22.922,-0.711,7.137,24.388,20.273
15/01/1985,9.662,3.098,23.996,0.464,6.127,24.987,21.662
15/02/1985,9.532,2.416,24.894,1.542,5.838,25.669,22.747
15/03/1985,9.444,2.317,24.995,1.024,5.708,26.51,22.568
15/04/1985,9.675,2.478,24.402,0.489,5.64,26.915,21.767
15/05/1985,10.674,3.491,23.335,-0.233,6.449,26.498,20.585
15/06/1985,12.252,4.869,22.147,-1.052,7.959,25.966,19.172
15/07/1985,13.85,6.683,21.092,-1.57,11.195,25.139,18.05
15/08/1985,13.872,7.094,20.423,-1.649,13.304,24.598,17.559
15/09/1985,13.58,6.137,20.262,-1.769,14.231,24.599,17.684
15/10/1985,12.289,4.54,20.703,-1.755,11.888,24.508,17.881
15/11/1985,11.182,2.739,21.574,-1.667,9.875,24.645,19.044
15/12/1985,10.245,2.95,23.172,-0.579,7.663,24.779,20.462
15/01/1986,9.292,2.749,24.653,0.244,6.325,25.164,22.04
15/02/1986,9.151,2.591,25.544,1.084,5.79,26.157,22.762
15/03/1986,8.936,2.493,25.548,0.653,5.649,26.992,22.599
15/04/1986,9.109,2.327,24.66,-0.172,5.907,27.349,21.725
15/05/1986,9.778,3.004,23.588,-0.784,6.691,26.901,20.068
15/06/1986,11.406,4.446,22.223,-1.144,7.842,26.452,18.861
15/07/1986,13.923,6.289,20.989,-1.507,10.721,25.929,18.019
15/08/1986,14.437,6.811,20.417,-1.633,13.658,25.244,17.47
15/09/1986,15.026,5.543,20.363,-1.717,13.684,25.408,17.345
15/10/1986,12.965,3.58,20.658,-1.716,11.526,25.75,17.688
15/11/1986,10.921,2.738,21.443,-1.336,9.037,25.969,18.662
15/12/1986,9.806,2.544,22.938,-0.975,7.13,25.934,20.031
15/01/1987,9.558,2.606,24.547,0.316,5.801,26.481,21.823
15/02/1987,9.319,2.059,25.525,1.273,5.326,27.225,22.557
15/03/1987,9.582,2.196,25.462,0.803,5.164,28.147,22.191
15/04/1987,9.928,2.42,24.856,0.135,5.333,28.493,21.364
15/05/1987,11.388,3.332,23.947,-0.384,6.194,28.383,20.094
15/06/1987,13.038,5.108,23.004,-0.779,7.698,27.605,18.768
15/07/1987,14.962,6.832,21.746,-1.313,9.887,27.103,17.841
15/08/1987,16.601,7.797,21.022,-1.532,12.514,26.555,17.172
15/09/1987,14.596,6.456,20.803,-1.642,12.494,26.713,17.249
15/10/1987,12.643,4.147,21.344,-1.729,10.473,26.249,17.548
15/11/1987,11.58,3.289,22.205,-1.441,8.608,26.359,18.471
15/12/1987,10.947,3.219,23.555,-0.278,6.724,26.456,20.09
15/01/1988,9.817,2.471,24.916,0.626,5.38,26.326,21.556
15/02/1988,9.618,1.972,26.03,1.566,4.938,26.641,22.351
15/03/1988,9.8,1.854,25.693,0.858,4.961,27.581,21.931
15/04/1988,10.306,1.911,24.723,0.15,4.983,27.27,21.017
15/05/1988,11.023,1.867,23.649,-0.509,5.875,26.584,19.925
15/06/1988,12.866,4.439,22.297,-0.986,7.446,25.339,18.819
15/07/1988,14.549,5.652,21.081,-1.479,10.42,24.574,18.131
15/08/1988,14.568,7.202,20.592,-1.63,12.986,24.15,17.519
15/09/1988,14.291,6.37,20.403,-1.757,12.387,24.186,17.485
15/10/1988,12.736,3.917,20.684,-1.729,10.32,23.862,18.001
15/11/1988,11.997,2.854,21.815,-1.652,8.592,24.051,19.303
15/12/1988,11.385,2.707,22.899,-1.061,7.027,24.115,20.671
15/01/1989,10.269,2.21,24.588,-0.324,6.058,24.787,22.363
15/02/1989,9.785,1.441,25.354,0.957,5.755,25.914,22.889
15/03/1989,9.136,1.48,25.435,0.464,5.611,26.462,22.847
15/04/1989,9.322,2.34,24.519,-0.173,5.9,27.073,21.919
15/05/1989,10.744,2.471,23.272,-0.788,7.064,26.847,20.425
15/06/1989,12.68,4.247,22.108,-1.23,8.595,26.393,19.224
15/07/1989,15.396,5.859,21.049,-1.719,11.729,25.714,18.408
15/08/1989,15.83,6.281,20.479,-1.785,14.223,24.906,17.858
15/09/1989,14.959,5.761,20.396,-1.778,13.757,24.928,17.662
15/10/1989,13.515,4.493,20.684,-1.78,11.576,24.909,18.171
